"id","content_summary","content_suggestions","organization_structure","organization_transitions","paragraphs_ideas","paragraphs_cohesion","sentences_correct","sentences_complexity","conventions_usage","conventions_punctuation","motivation","strategies","metacognition","selfefficacy","rock_file"
1,2,2,2,0,2,2,2,1,2,1,2.41666666666667,1.625,1.92857142857143,2.1875,"data-raw/daacs_00001.txt"
2,1,2,2,0,2,2,2,1,2,1,2.25,2.58333333333333,3.35714285714286,2.1875,"data-raw/daacs_00002.txt"
3,1,1,1,0,2,1,2,1,2,1,2.75,2.625,3.07142857142857,3.1875,"data-raw/daacs_00003.txt"
4,2,0,2,0,2,2,2,1,2,1,3.58333333333333,3.41666666666667,3.42857142857143,4,"data-raw/daacs_00004.txt"
5,2,2,2,2,2,2,2,1,2,1,2.5,1.45833333333333,1.14285714285714,2,"data-raw/daacs_00005.txt"
6,1,2,1,1,2,2,2,1,2,1,2,2.70833333333333,2.42857142857143,2.75,"data-raw/daacs_00006.txt"
7,0,0,1,0,1,2,2,1,2,1,2.25,1.875,2.28571428571429,2.25,"data-raw/daacs_00007.txt"
8,2,2,2,2,2,2,2,2,2,2,2.58333333333333,1.95833333333333,2.14285714285714,2.6875,"data-raw/daacs_00008.txt"
9,2,2,2,0,2,2,2,1,2,1,2.16666666666667,3.04166666666667,2.85714285714286,2.125,"data-raw/daacs_00009.txt"
10,2,2,1,0,2,1,2,1,2,1,2.16666666666667,2.33333333333333,2.14285714285714,2.3125,"data-raw/daacs_00010.txt"
11,2,2,2,0,2,2,2,2,2,2,2.75,2.58333333333333,2.35714285714286,2.4375,"data-raw/daacs_00011.txt"
12,2,2,2,2,2,2,2,1,2,2,2.58333333333333,1.16666666666667,1.78571428571429,1.6875,"data-raw/daacs_00012.txt"
13,2,2,2,2,2,2,2,2,2,2,2.75,2.54166666666667,2.92857142857143,2.75,"data-raw/daacs_00013.txt"
14,1,2,1,0,0,1,2,1,2,2,2.75,2.75,2.71428571428571,2.8125,"data-raw/daacs_00014.txt"
15,2,2,1,1,2,2,2,1,2,1,3.08333333333333,3.5,3.92857142857143,3,"data-raw/daacs_00015.txt"
16,0,1,1,0,2,1,1,1,2,1,2.25,2.125,2.71428571428571,3,"data-raw/daacs_00016.txt"
17,2,2,2,1,2,2,2,1,2,2,1.83333333333333,2.5,1.57142857142857,1.875,"data-raw/daacs_00017.txt"
